"","pixel","Site"
"1",21952,1
"2",22041,1
"3",22134,1
"4",22229,1
"5",28678,2
"6",28749,2
"7",28820,2
"8",28893,2
"9",75239,3
"10",75238,3
"11",75237,3
"12",75236,3
"13",75235,3
"14",75738,4
"15",75669,4
"16",75737,4
"17",75598,4
"18",75668,4
"19",75597,4
"20",75667,4
"21",75277,5
"22",75358,5
"23",75276,5
"24",75357,5
"25",75432,5
"26",75503,5
"27",75574,5
"28",92548,6
"29",92547,6
"30",92546,6
"31",92545,6
"32",97687,8
"33",124272,9
"34",121179,10
"35",121252,10
"36",121322,10
"37",121389,10
"38",136810,11
"39",136809,11
"40",136820,11
"41",136819,11
"42",141352,14
"43",141351,14
"44",141350,14
"45",141349,14
"46",140541,16
"47",140562,16
"48",140586,16
"49",140609,16
"50",20340,21
"51",20415,21
"52",20490,21
"53",20574,21
"54",62665,22
"55",62736,22
"56",62811,22
"57",62884,22
"58",62956,22
"59",68872,23
"60",68948,23
"61",69024,23
"62",69099,23
"63",72006,24
"64",72033,24
"65",72062,24
"66",72092,24
"67",72825,25
"68",72842,25
"69",72859,25
"70",72883,25
"71",120840,28
"72",136883,31
"73",138705,34
"74",138699,34
"75",138704,34
"76",138684,34
"77",138698,34
"78",138683,34
"79",139129,35
"80",139142,35
"81",139151,35
"82",139161,35
"83",141454,36
"84",140891,37
"85",140919,37
"86",140944,37
"87",140973,37
